name,l_b,n_b
Abstract_Completeness,5,22
Abstract_Completeness,6,12
Abstract_Completeness,7,6
Abstract_Completeness,8,5
Abstract_Completeness,9,4
Abstract_Completeness,10,2
Abstract_Soundness,1,1781
Abstract_Soundness,2,1233
Abstract_Soundness,3,97
Abstract_Soundness,4,66
Abstract_Soundness,5,43
Abstract_Soundness,6,29
Abstract_Soundness,7,16
Abstract_Soundness,8,13
Abstract_Soundness,9,9
Abstract_Soundness,10,9
Abstract_Soundness,11,5
Abstract_Soundness,12,4
Abstract_Soundness,13,3
Abstract_Soundness,14,2
Abstract_Soundness,15,2
Adaptive_State_Counting,1,2211
Adaptive_State_Counting,2,1666
Adaptive_State_Counting,3,67
Adaptive_State_Counting,4,46
Adaptive_State_Counting,5,23
Adaptive_State_Counting,6,12
Adaptive_State_Counting,7,7
Adaptive_State_Counting,8,3
Adaptive_State_Counting,9,2
Adaptive_State_Counting,10,2
Affine_Arithmetic,1,5022
Affine_Arithmetic,2,3561
Affine_Arithmetic,3,500
Affine_Arithmetic,4,301
Affine_Arithmetic,5,180
Affine_Arithmetic,6,110
Affine_Arithmetic,7,53
Affine_Arithmetic,8,38
Affine_Arithmetic,9,23
Affine_Arithmetic,10,21
Affine_Arithmetic,11,18
Affine_Arithmetic,12,9
Affine_Arithmetic,13,6
Affine_Arithmetic,14,5
Affine_Arithmetic,15,4
Affine_Arithmetic,16,3
Affine_Arithmetic,17,2
Aggregation_Algebras,1,10293
Aggregation_Algebras,2,8939
Aggregation_Algebras,3,270
Aggregation_Algebras,4,187
Aggregation_Algebras,5,101
Aggregation_Algebras,6,69
Aggregation_Algebras,7,46
Aggregation_Algebras,8,33
Aggregation_Algebras,9,28
Aggregation_Algebras,10,16
Aggregation_Algebras,11,9
Aggregation_Algebras,12,8
Aggregation_Algebras,13,6
Aggregation_Algebras,14,6
Aggregation_Algebras,15,3
Aggregation_Algebras,16,3
Aggregation_Algebras,17,3
Aggregation_Algebras,18,3
Aggregation_Algebras,19,2
Akra_Bazzi,1,1697
Akra_Bazzi,2,860
Akra_Bazzi,3,274
Akra_Bazzi,4,150
Akra_Bazzi,5,73
Akra_Bazzi,6,44
Akra_Bazzi,7,28
Akra_Bazzi,8,22
Akra_Bazzi,9,10
Akra_Bazzi,10,7
Akra_Bazzi,11,3
Akra_Bazzi,12,2
Akra_Bazzi,13,2
Akra_Bazzi,14,2
Algebraic_Numbers,1,5717
Algebraic_Numbers,2,4580
Algebraic_Numbers,3,383
Algebraic_Numbers,4,239
Algebraic_Numbers,5,136
Algebraic_Numbers,6,95
Algebraic_Numbers,7,58
Algebraic_Numbers,8,73
Algebraic_Numbers,9,24
Algebraic_Numbers,10,19
Algebraic_Numbers,11,12
Algebraic_Numbers,12,12
Algebraic_Numbers,13,9
Algebraic_Numbers,14,6
Algebraic_Numbers,15,4
Algebraic_Numbers,16,3
Algebraic_Numbers,17,3
Algebraic_Numbers,18,2
Algebraic_Numbers,19,2
Algebraic_Numbers,20,2
Algebraic_VCs,1,7816
Algebraic_VCs,2,3961
Algebraic_VCs,3,68
Algebraic_VCs,4,45
Algebraic_VCs,5,28
Algebraic_VCs,6,19
Algebraic_VCs,7,7
Algebraic_VCs,8,7
Algebraic_VCs,9,5
Algebraic_VCs,10,4
Algebraic_VCs,11,2
Allen_Calculus,1,491
Allen_Calculus,2,299
Allen_Calculus,3,24
Allen_Calculus,4,14
Allen_Calculus,5,8
Allen_Calculus,6,6
Allen_Calculus,7,3
Allen_Calculus,8,3
Allen_Calculus,9,2
Amicable_Numbers,1,106
Amicable_Numbers,2,60
Amicable_Numbers,3,21
Amicable_Numbers,4,15
Amicable_Numbers,5,7
Amicable_Numbers,6,5
Amicable_Numbers,7,3
Amicable_Numbers,8,2
Amortized_Complexity,1,9584
Amortized_Complexity,2,4418
Amortized_Complexity,3,412
Amortized_Complexity,4,219
Amortized_Complexity,5,120
Amortized_Complexity,6,81
Amortized_Complexity,7,37
Amortized_Complexity,8,29
Amortized_Complexity,9,16
Amortized_Complexity,10,13
Amortized_Complexity,11,7
Amortized_Complexity,12,4
Amortized_Complexity,13,4
Amortized_Complexity,14,4
Amortized_Complexity,15,2
AnselmGod,1,34
AnselmGod,2,20
Applicative_Lifting,1,2586
Applicative_Lifting,2,1405
Applicative_Lifting,3,236
Applicative_Lifting,4,112
Applicative_Lifting,5,64
Applicative_Lifting,6,70
Applicative_Lifting,7,19
Applicative_Lifting,8,15
Applicative_Lifting,9,11
Applicative_Lifting,10,6
Applicative_Lifting,11,5
Applicative_Lifting,12,3
Applicative_Lifting,13,2
Approximation_Algorithms,1,614
Approximation_Algorithms,2,95
