name,l_b,n_b
Closest_Pair_Points,4,204
Closest_Pair_Points,5,120
Closest_Pair_Points,6,62
Closest_Pair_Points,7,37
Closest_Pair_Points,8,22
Closest_Pair_Points,9,9
Closest_Pair_Points,10,5
Closest_Pair_Points,11,3
CoCon,1,15199
CoCon,2,12352
CoCon,3,160
CoCon,4,104
CoCon,5,59
CoCon,6,40
CoCon,7,17
CoCon,8,15
CoCon,9,9
CoCon,10,8
CofGroups,1,81
CofGroups,2,45
CofGroups,3,10
CofGroups,4,6
CofGroups,5,4
CofGroups,6,2
CofGroups,7,2
Coinductive,1,4188
Coinductive,2,2825
Coinductive,3,138
Coinductive,4,98
Coinductive,5,49
Coinductive,6,28
Coinductive,7,16
Coinductive,8,13
Coinductive,9,9
Coinductive,10,7
Coinductive,11,5
Coinductive,12,4
Coinductive,13,2
Coinductive_Languages,1,803
Coinductive_Languages,2,549
Coinductive_Languages,3,21
Coinductive_Languages,4,13
Coinductive_Languages,5,9
Coinductive_Languages,6,5
Coinductive_Languages,7,3
Coinductive_Languages,8,2
Collections,1,25122
Collections,2,16939
Collections,3,1265
Collections,4,987
Collections,5,376
Collections,6,251
Collections,7,116
Collections,8,88
Collections,9,48
Collections,10,33
Collections,11,21
Collections,12,15
Collections,13,12
Collections,14,8
Collections,15,8
Collections,16,6
Collections,17,4
Collections,18,3
Collections,19,3
Collections,20,2
Collections,21,2
Combinatorics_Words,1,1289
Combinatorics_Words,2,818
Combinatorics_Words,3,261
Combinatorics_Words,4,164
Combinatorics_Words,5,82
Combinatorics_Words,6,55
Combinatorics_Words,7,39
Combinatorics_Words,8,27
Combinatorics_Words,9,13
Combinatorics_Words,10,10
Combinatorics_Words,11,7
Combinatorics_Words,12,5
Combinatorics_Words,13,3
Combinatorics_Words,14,2
Combinatorics_Words,15,2
Combinatorics_Words_Graph_Lemma,1,58
Combinatorics_Words_Graph_Lemma,2,35
Combinatorics_Words_Graph_Lemma,3,6
Combinatorics_Words_Graph_Lemma,4,6
Combinatorics_Words_Graph_Lemma,5,4
Combinatorics_Words_Graph_Lemma,6,3
Combinatorics_Words_Graph_Lemma,7,3
Combinatorics_Words_Graph_Lemma,8,2
Combinatorics_Words_Lyndon,1,361
Combinatorics_Words_Lyndon,2,232
Combinatorics_Words_Lyndon,3,48
Combinatorics_Words_Lyndon,4,34
Combinatorics_Words_Lyndon,5,23
Combinatorics_Words_Lyndon,6,16
Combinatorics_Words_Lyndon,7,8
Combinatorics_Words_Lyndon,8,6
Combinatorics_Words_Lyndon,9,4
Combinatorics_Words_Lyndon,10,3
Combinatorics_Words_Lyndon,11,2
Comparison_Sort_Lower_Bound,1,425
Comparison_Sort_Lower_Bound,2,279
Comparison_Sort_Lower_Bound,3,20
Comparison_Sort_Lower_Bound,4,14
Comparison_Sort_Lower_Bound,5,8
Comparison_Sort_Lower_Bound,6,7
Comparison_Sort_Lower_Bound,7,3
Comparison_Sort_Lower_Bound,8,2
Comparison_Sort_Lower_Bound,9,2
Comparison_Sort_Lower_Bound,10,2
Compiling-Exceptions-Correctly,1,1027
Compiling-Exceptions-Correctly,2,754
Compiling-Exceptions-Correctly,3,25
Compiling-Exceptions-Correctly,4,13
Compiling-Exceptions-Correctly,5,6
Compiling-Exceptions-Correctly,6,7
Compiling-Exceptions-Correctly,7,3
Compiling-Exceptions-Correctly,8,3
Compiling-Exceptions-Correctly,9,3
Compiling-Exceptions-Correctly,10,3
Compiling-Exceptions-Correctly,11,2
Complete_Non_Orders,1,1424
Complete_Non_Orders,2,1040
Complete_Non_Orders,3,167
Complete_Non_Orders,4,100
Complete_Non_Orders,5,42
Complete_Non_Orders,6,24
Complete_Non_Orders,7,11
Complete_Non_Orders,8,6
Complete_Non_Orders,9,5
Complete_Non_Orders,10,3
Complete_Non_Orders,11,3
Complete_Non_Orders,12,3
Complete_Non_Orders,13,2
Complete_Non_Orders,14,2
Complete_Non_Orders,15,2
Completeness,1,1408
Completeness,2,968
Completeness,3,100
Completeness,4,60
Completeness,5,35
Completeness,6,24
Completeness,7,13
Completeness,8,9
Completeness,9,6
Completeness,10,4
Completeness,11,2
Completeness,12,2
Complex_Bounded_Operators,1,4412
Complex_Bounded_Operators,2,3238
Complex_Bounded_Operators,3,299
Complex_Bounded_Operators,4,186
Complex_Bounded_Operators,5,91
Complex_Bounded_Operators,6,58
Complex_Bounded_Operators,7,32
Complex_Bounded_Operators,8,23
Complex_Bounded_Operators,9,15
Complex_Bounded_Operators,10,10
Complex_Bounded_Operators,11,8
Complex_Bounded_Operators,12,5
Complex_Bounded_Operators,13,3
Complex_Bounded_Operators,14,3
Complex_Bounded_Operators,15,2
Complex_Bounded_Operators,16,2
Complex_Geometry,1,3314
Complex_Geometry,2,2297
Complex_Geometry,3,347
Complex_Geometry,4,209
Complex_Geometry,5,114
Complex_Geometry,6,74
Complex_Geometry,7,29
Complex_Geometry,8,17
Complex_Geometry,9,12
Complex_Geometry,10,7
Complex_Geometry,11,5
Complex_Geometry,12,4
Complex_Geometry,13,3
Complex_Geometry,14,2
Complx,1,4820
Complx,2,3804
Complx,3,163
Complx,4,89
Complx,5,56
Complx,6,32
Complx,7,25
Complx,8,24
Complx,9,14
Complx,10,12
Complx,11,7
Complx,12,7
Complx,13,6
Complx,14,4
Complx,15,3
Complx,16,2
ComponentDependencies,1,12708
ComponentDependencies,2,10398
ComponentDependencies,3,39
ComponentDependencies,4,28
ComponentDependencies,5,9
ComponentDependencies,6,5
ComponentDependencies,7,5
ComponentDependencies,8,4
ConcurrentGC,1,14071
ConcurrentGC,2,11016
ConcurrentGC,3,376
ConcurrentGC,4,308
ConcurrentGC,5,58
ConcurrentGC,6,44
ConcurrentGC,7,22
ConcurrentGC,8,20
ConcurrentGC,9,16
ConcurrentGC,10,12
ConcurrentGC,11,7
ConcurrentGC,12,6
ConcurrentGC,13,5
ConcurrentGC,14,4
ConcurrentGC,15,2
ConcurrentGC,16,2
ConcurrentIMP,1,4063
ConcurrentIMP,2,3123
ConcurrentIMP,3,170
ConcurrentIMP,4,109
ConcurrentIMP,5,57
ConcurrentIMP,6,39
ConcurrentIMP,7,25
ConcurrentIMP,8,20
ConcurrentIMP,9,17
ConcurrentIMP,10,13
ConcurrentIMP,11,10
ConcurrentIMP,12,9
ConcurrentIMP,13,6
ConcurrentIMP,14,6
ConcurrentIMP,15,4
ConcurrentIMP,16,3
ConcurrentIMP,17,3
ConcurrentIMP,18,2
Concurrent_Ref_Alg,1,498
Concurrent_Ref_Alg,2,325
Concurrent_Ref_Alg,3,61
Concurrent_Ref_Alg,4,40
Concurrent_Ref_Alg,5,26
Concurrent_Ref_Alg,6,19
Concurrent_Ref_Alg,7,4
Concurrent_Ref_Alg,8,3
Concurrent_Revisions,1,3426
Concurrent_Revisions,2,2616
Concurrent_Revisions,3,67
Concurrent_Revisions,4,47
Concurrent_Revisions,5,24
Concurrent_Revisions,6,18
Concurrent_Revisions,7,9
Concurrent_Revisions,8,7
Concurrent_Revisions,9,6
Concurrent_Revisions,10,4
Conditional_Transfer_Rule,1,166
Conditional_Transfer_Rule,2,48
Conditional_Transfer_Rule,3,4
Conditional_Transfer_Rule,4,3
Conditional_Transfer_Rule,5,3
Conditional_Transfer_Rule,6,2
Consensus_Refined,1,6169
Consensus_Refined,2,4820
Consensus_Refined,3,241
Consensus_Refined,4,115
Consensus_Refined,5,55
Consensus_Refined,6,40
Consensus_Refined,7,28
Consensus_Refined,8,15
Consensus_Refined,9,11
Consensus_Refined,10,9
Consensus_Refined,11,7
Consensus_Refined,12,6
Consensus_Refined,13,5
Consensus_Refined,14,5
Constructive_Cryptography,1,3061
Constructive_Cryptography,2,2320
Constructive_Cryptography,3,147
Constructive_Cryptography,4,83
Constructive_Cryptography,5,45
Constructive_Cryptography,6,32
Constructive_Cryptography,7,19
Constructive_Cryptography,8,14
Constructive_Cryptography,9,12
Constructive_Cryptography,10,9
Constructive_Cryptography,11,6
Constructive_Cryptography,12,5
Constructive_Cryptography,13,4
Constructive_Cryptography_CM,1,8979
Constructive_Cryptography_CM,2,6947
Constructive_Cryptography_CM,3,549
Constructive_Cryptography_CM,4,345
Constructive_Cryptography_CM,5,213
Constructive_Cryptography_CM,6,143
Constructive_Cryptography_CM,7,96
Constructive_Cryptography_CM,8,60
Constructive_Cryptography_CM,9,46
Constructive_Cryptography_CM,10,35
Constructive_Cryptography_CM,11,17
Constructive_Cryptography_CM,12,12
Constructive_Cryptography_CM,13,10
Constructive_Cryptography_CM,14,11
Constructive_Cryptography_CM,15,7
Constructive_Cryptography_CM,16,7
Constructive_Cryptography_CM,17,6
Constructive_Cryptography_CM,18,6
Constructive_Cryptography_CM,19,6
Constructive_Cryptography_CM,20,6
Constructive_Cryptography_CM,21,5
Constructive_Cryptography_CM,22,5
Constructive_Cryptography_CM,23,5
Constructive_Cryptography_CM,24,4
Constructive_Cryptography_CM,25,2
Constructor_Funs,1,1383
Constructor_Funs,2,389
Constructor_Funs,3,29
Constructor_Funs,4,18
Constructor_Funs,5,7
Constructor_Funs,6,5
Constructor_Funs,7,2
Containers,1,10176
Containers,2,6119
Containers,3,767
Containers,4,465
Containers,5,299
Containers,6,225
Containers,7,82
Containers,8,64
Containers,9,37
Containers,10,24
Containers,11,21
Containers,12,13
Containers,13,9
Containers,14,6
Containers,15,6
Containers,16,4
Containers,17,2
Containers,18,2
CoreC++,1,4989
CoreC++,2,3584
CoreC++,3,142
CoreC++,4,103
CoreC++,5,60
CoreC++,6,45
CoreC++,7,26
CoreC++,8,21
CoreC++,9,11
CoreC++,10,9
CoreC++,11,2
Core_DOM,1,9588
Core_DOM,2,6549
Core_DOM,3,208
Core_DOM,4,145
Core_DOM,5,61
Core_DOM,6,47
Core_DOM,7,17
Core_DOM,8,12
Core_DOM,9,9
Core_DOM,10,7
Core_DOM,11,2
Core_SC_DOM,1,9548
Core_SC_DOM,2,6919
Core_SC_DOM,3,200
Core_SC_DOM,4,143
Core_SC_DOM,5,61
Core_SC_DOM,6,39
Core_SC_DOM,7,18
Core_SC_DOM,8,12
Core_SC_DOM,9,9
Core_SC_DOM,10,7
Core_SC_DOM,11,2
Correctness_Algebras,1,18047
Correctness_Algebras,2,13872
Correctness_Algebras,3,878
Correctness_Algebras,4,532
Correctness_Algebras,5,264
Correctness_Algebras,6,152
Correctness_Algebras,7,70
Correctness_Algebras,8,41
Correctness_Algebras,9,27
Correctness_Algebras,10,17
Correctness_Algebras,11,13
Correctness_Algebras,12,7
Correctness_Algebras,13,3
Correctness_Algebras,14,2
Correctness_Algebras,15,2
Correctness_Algebras,16,2
CoSMed,1,8646
CoSMed,2,6853
CoSMed,3,168
CoSMed,4,104
CoSMed,5,59
CoSMed,6,40
CoSMed,7,18
CoSMed,8,15
CoSMed,9,13
CoSMed,10,12
CoSMed,11,4
CoSMed,12,3
CoSMeDis,1,20098
CoSMeDis,2,16226
CoSMeDis,3,230
CoSMeDis,4,168
CoSMeDis,5,80
CoSMeDis,6,52
CoSMeDis,7,21
CoSMeDis,8,15
CoSMeDis,9,13
CoSMeDis,10,13
CoSMeDis,11,4
CoSMeDis,12,2
CoSMeDis,13,2
CoSMeDis,14,2
Count_Complex_Roots,1,507
Count_Complex_Roots,2,183
Count_Complex_Roots,3,70
Count_Complex_Roots,4,46
Count_Complex_Roots,5,28
Count_Complex_Roots,6,19
Count_Complex_Roots,7,10
Count_Complex_Roots,8,8
Count_Complex_Roots,9,5
Count_Complex_Roots,10,3
Count_Complex_Roots,11,3
Count_Complex_Roots,12,3
Count_Complex_Roots,13,2
CryptHOL,1,4259
CryptHOL,2,2495
CryptHOL,3,195
CryptHOL,4,134
CryptHOL,5,81
CryptHOL,6,60
CryptHOL,7,35
CryptHOL,8,28
CryptHOL,9,20
CryptHOL,10,18
CryptHOL,11,11
CryptHOL,12,10
CryptHOL,13,6
CryptHOL,14,6
CryptHOL,15,3
CryptHOL,16,2
CryptHOL,17,2
CryptHOL,18,2
CryptHOL,19,2
CryptoBasedCompositionalProperties,1,1962
CryptoBasedCompositionalProperties,2,1366
CryptoBasedCompositionalProperties,3,46
CryptoBasedCompositionalProperties,4,28
CryptoBasedCompositionalProperties,5,16
CryptoBasedCompositionalProperties,6,11
CryptoBasedCompositionalProperties,7,5
CryptoBasedCompositionalProperties,8,5
CryptoBasedCompositionalProperties,9,3
CryptoBasedCompositionalProperties,10,2
Cubic_Quartic_Equations,1,94
Cubic_Quartic_Equations,2,53
Cubic_Quartic_Equations,3,22
Cubic_Quartic_Equations,4,13
Cubic_Quartic_Equations,5,10
Cubic_Quartic_Equations,6,8
Cubic_Quartic_Equations,7,5
Cubic_Quartic_Equations,8,4
Cubic_Quartic_Equations,9,4
Cubic_Quartic_Equations,10,2
Cubic_Quartic_Equations,11,2
Cubic_Quartic_Equations,12,2
Cubic_Quartic_Equations,13,2
DFS_Framework,1,7501
DFS_Framework,2,5981
DFS_Framework,3,141
DFS_Framework,4,91
DFS_Framework,5,46
DFS_Framework,6,30
DFS_Framework,7,17
DFS_Framework,8,11
DFS_Framework,9,7
DFS_Framework,10,4
DFS_Framework,11,3
DFS_Framework,12,2
DOM_Components,1,517
DOM_Components,2,389
DOM_Components,3,50
DOM_Components,4,43
DOM_Components,5,6
DOM_Components,6,3
DOM_Components,7,2
DOM_Components,8,2
DataRefinementIBP,1,148
DataRefinementIBP,2,91
DataRefinementIBP,3,24
DataRefinementIBP,4,19
DataRefinementIBP,5,10
DataRefinementIBP,6,7
DataRefinementIBP,7,4
DataRefinementIBP,8,2
DataRefinementIBP,9,2
Datatype_Order_Generator,1,5339
Datatype_Order_Generator,2,3178
Datatype_Order_Generator,3,344
Datatype_Order_Generator,4,236
Datatype_Order_Generator,5,144
Datatype_Order_Generator,6,125
Datatype_Order_Generator,7,60
Datatype_Order_Generator,8,70
Datatype_Order_Generator,9,58
Datatype_Order_Generator,10,42
Datatype_Order_Generator,11,37
Datatype_Order_Generator,12,34
Datatype_Order_Generator,13,20
Datatype_Order_Generator,14,18
Datatype_Order_Generator,15,2
Decl_Sem_Fun_PL,1,6688
Decl_Sem_Fun_PL,2,2771
Decl_Sem_Fun_PL,3,92
Decl_Sem_Fun_PL,4,62
Decl_Sem_Fun_PL,5,37
Decl_Sem_Fun_PL,6,27
Decl_Sem_Fun_PL,7,12
Decl_Sem_Fun_PL,8,9
Decl_Sem_Fun_PL,9,7
Decl_Sem_Fun_PL,10,6
Decl_Sem_Fun_PL,11,4
Decl_Sem_Fun_PL,12,4
Decl_Sem_Fun_PL,13,3
Decl_Sem_Fun_PL,14,2
Decreasing-Diagrams,1,364
Decreasing-Diagrams,2,212
Decreasing-Diagrams,3,56
Decreasing-Diagrams,4,30
Decreasing-Diagrams,5,18
Decreasing-Diagrams,6,10
Decreasing-Diagrams,7,6
Decreasing-Diagrams,8,4
Decreasing-Diagrams,9,2
Decreasing-Diagrams-II,1,416
Decreasing-Diagrams-II,2,259
Decreasing-Diagrams-II,3,38
Decreasing-Diagrams-II,4,24
Decreasing-Diagrams-II,5,15
Decreasing-Diagrams-II,6,9
Decreasing-Diagrams-II,7,8
Decreasing-Diagrams-II,8,5
Decreasing-Diagrams-II,9,3
Decreasing-Diagrams-II,10,3
Decreasing-Diagrams-II,11,2
Deep_Learning,1,1471
Deep_Learning,2,995
Deep_Learning,3,80
Deep_Learning,4,54
Deep_Learning,5,31
Deep_Learning,6,17
Deep_Learning,7,10
Deep_Learning,8,9
Deep_Learning,9,6
Deep_Learning,10,4
Deep_Learning,11,2
Delta_System_Lemma,1,281
Delta_System_Lemma,2,151
Delta_System_Lemma,3,55
Delta_System_Lemma,4,38
Delta_System_Lemma,5,22
Delta_System_Lemma,6,14
Delta_System_Lemma,7,9
Delta_System_Lemma,8,6
Delta_System_Lemma,9,4
Delta_System_Lemma,10,3
Delta_System_Lemma,11,3
Delta_System_Lemma,12,2
Density_Compiler,1,4818
Density_Compiler,2,3754
Density_Compiler,3,77
Density_Compiler,4,55
Density_Compiler,5,27
Density_Compiler,6,21
Density_Compiler,7,6
Density_Compiler,8,5
Density_Compiler,9,3
Density_Compiler,10,3
Dependent_SIFUM_Refinement,1,4660
Dependent_SIFUM_Refinement,2,3537
Dependent_SIFUM_Refinement,3,166
Dependent_SIFUM_Refinement,4,90
Dependent_SIFUM_Refinement,5,40
Dependent_SIFUM_Refinement,6,29
Dependent_SIFUM_Refinement,7,13
Dependent_SIFUM_Refinement,8,7
Dependent_SIFUM_Refinement,9,4
Dependent_SIFUM_Refinement,10,2
Dependent_SIFUM_Refinement,11,2
Dependent_SIFUM_Type_Systems,1,6399
Dependent_SIFUM_Type_Systems,2,5025
Dependent_SIFUM_Type_Systems,3,119
Dependent_SIFUM_Type_Systems,4,145
Dependent_SIFUM_Type_Systems,5,45
Dependent_SIFUM_Type_Systems,6,45
Dependent_SIFUM_Type_Systems,7,9
Dependent_SIFUM_Type_Systems,8,8
Dependent_SIFUM_Type_Systems,9,5
Dependent_SIFUM_Type_Systems,10,3
Dependent_SIFUM_Type_Systems,11,2
Dependent_SIFUM_Type_Systems,12,2
Depth-First-Search,1,126
Depth-First-Search,2,81
Depth-First-Search,3,2
Derangements,1,69
Derangements,2,46
Derangements,3,11
Derangements,4,6
Derangements,5,5
Derangements,6,3
Derangements,7,2
Derangements,8,2
Deriving,1,4966
Deriving,2,3634
Deriving,3,147
Deriving,4,94
Deriving,5,45
Deriving,6,41
Deriving,7,14
Deriving,8,12
Deriving,9,7
Deriving,10,5
Deriving,11,2
Descartes_Sign_Rule,1,91
Descartes_Sign_Rule,2,60
Descartes_Sign_Rule,3,16
Descartes_Sign_Rule,4,12
Descartes_Sign_Rule,5,7
Descartes_Sign_Rule,6,4
Descartes_Sign_Rule,7,3
Descartes_Sign_Rule,8,2
Design_Theory,1,1514
Design_Theory,2,946
Design_Theory,3,219
Design_Theory,4,152
Design_Theory,5,83
Design_Theory,6,57
Design_Theory,7,24
Design_Theory,8,15
Design_Theory,9,12
Design_Theory,10,9
Design_Theory,11,4
Design_Theory,12,4
Design_Theory,13,3
Design_Theory,14,2
Design_Theory,15,2
Design_Theory,16,2
Dict_Construction,1,10784
Dict_Construction,2,4636
Dict_Construction,3,291
Dict_Construction,4,195
Dict_Construction,5,113
Dict_Construction,6,73
Dict_Construction,7,40
Dict_Construction,8,30
Dict_Construction,9,22
Dict_Construction,10,17
Dict_Construction,11,11
Dict_Construction,12,8
Dict_Construction,13,5
Dict_Construction,14,4
Dict_Construction,15,2
Dict_Construction,16,2
Differential_Dynamic_Logic,1,9237
Differential_Dynamic_Logic,2,7168
Differential_Dynamic_Logic,3,152
Differential_Dynamic_Logic,4,128
Differential_Dynamic_Logic,5,74
Differential_Dynamic_Logic,6,54
Differential_Dynamic_Logic,7,28
Differential_Dynamic_Logic,8,19
Differential_Dynamic_Logic,9,13
Differential_Dynamic_Logic,10,10
Differential_Dynamic_Logic,11,2
Differential_Dynamic_Logic,12,2
Differential_Game_Logic,1,2796
Differential_Game_Logic,2,2088
Differential_Game_Logic,3,62
Differential_Game_Logic,4,45
Differential_Game_Logic,5,24
Differential_Game_Logic,6,20
Differential_Game_Logic,7,8
Differential_Game_Logic,8,7
Differential_Game_Logic,9,5
Differential_Game_Logic,10,4
Dijkstra_Shortest_Path,1,2120
Dijkstra_Shortest_Path,2,1515
Dijkstra_Shortest_Path,3,120
Dijkstra_Shortest_Path,4,79
Dijkstra_Shortest_Path,5,45
Dijkstra_Shortest_Path,6,31
Dijkstra_Shortest_Path,7,12
Dijkstra_Shortest_Path,8,8
Dijkstra_Shortest_Path,9,5
Dijkstra_Shortest_Path,10,3
Dijkstra_Shortest_Path,11,3
Dijkstra_Shortest_Path,12,2
Diophantine_Eqns_Lin_Hom,1,1347
Diophantine_Eqns_Lin_Hom,2,952
Diophantine_Eqns_Lin_Hom,3,192
Diophantine_Eqns_Lin_Hom,4,108
Diophantine_Eqns_Lin_Hom,5,60
Diophantine_Eqns_Lin_Hom,6,30
Diophantine_Eqns_Lin_Hom,7,18
Diophantine_Eqns_Lin_Hom,8,12
Diophantine_Eqns_Lin_Hom,9,7
Diophantine_Eqns_Lin_Hom,10,4
Diophantine_Eqns_Lin_Hom,11,2
Dirichlet_L,1,257
Dirichlet_L,2,148
Dirichlet_L,3,33
Dirichlet_L,4,21
Dirichlet_L,5,13
Dirichlet_L,6,7
Dirichlet_L,7,5
Dirichlet_L,8,2
Dirichlet_Series,1,1352
Dirichlet_Series,2,874
Dirichlet_Series,3,102
Dirichlet_Series,4,66
Dirichlet_Series,5,41
Dirichlet_Series,6,27
Dirichlet_Series,7,16
Dirichlet_Series,8,13
Dirichlet_Series,9,7
Dirichlet_Series,10,5
Dirichlet_Series,11,4
Dirichlet_Series,12,2
Dirichlet_Series,13,2
DiscretePricing,1,1525
DiscretePricing,2,932
DiscretePricing,3,187
DiscretePricing,4,109
DiscretePricing,5,72
DiscretePricing,6,40
DiscretePricing,7,28
DiscretePricing,8,17
DiscretePricing,9,7
DiscretePricing,10,4
DiscretePricing,11,3
Discrete_Summation,1,97
Discrete_Summation,2,41
Discrete_Summation,3,9
Discrete_Summation,4,6
Discrete_Summation,5,5
Discrete_Summation,6,3
Discrete_Summation,7,2
DiskPaxos,1,1198
DiskPaxos,2,715
DiskPaxos,3,11
DiskPaxos,4,9
DiskPaxos,5,3
Dominance_CHK,1,545
Dominance_CHK,2,336
Dominance_CHK,3,22
Dominance_CHK,4,16
Dominance_CHK,5,9
Dominance_CHK,6,4
Dominance_CHK,7,2
Dominance_CHK,8,2
DynamicArchitectures,1,299
DynamicArchitectures,2,177
DynamicArchitectures,3,19
DynamicArchitectures,4,16
DynamicArchitectures,5,11
DynamicArchitectures,6,10
DynamicArchitectures,7,2
Dynamic_Tables,1,536
Dynamic_Tables,2,367
Dynamic_Tables,3,72
Dynamic_Tables,4,59
Dynamic_Tables,5,36
Dynamic_Tables,6,27
Dynamic_Tables,7,15
Dynamic_Tables,8,14
Dynamic_Tables,9,9
Dynamic_Tables,10,8
Dynamic_Tables,11,3
Dynamic_Tables,12,3
Dynamic_Tables,13,2
Dynamic_Tables,14,2
E_Transcendental,1,70
E_Transcendental,2,41
E_Transcendental,3,11
E_Transcendental,4,7
E_Transcendental,5,5
E_Transcendental,6,4
E_Transcendental,7,3
E_Transcendental,8,2
Echelon_Form,1,847
Echelon_Form,2,436
Echelon_Form,3,128
Echelon_Form,4,81
Echelon_Form,5,45
Echelon_Form,6,31
Echelon_Form,7,16
Echelon_Form,8,10
Echelon_Form,9,9
Echelon_Form,10,6
Echelon_Form,11,5
Echelon_Form,12,4
Echelon_Form,13,2
Echelon_Form,14,2
Echelon_Form,15,2
EdmondsKarp_Maxflow,1,616
EdmondsKarp_Maxflow,2,399
EdmondsKarp_Maxflow,3,114
EdmondsKarp_Maxflow,4,89
EdmondsKarp_Maxflow,5,49
EdmondsKarp_Maxflow,6,33
EdmondsKarp_Maxflow,7,19
EdmondsKarp_Maxflow,8,13
EdmondsKarp_Maxflow,9,10
EdmondsKarp_Maxflow,10,6
EdmondsKarp_Maxflow,11,5
EdmondsKarp_Maxflow,12,4
EdmondsKarp_Maxflow,13,4
EdmondsKarp_Maxflow,14,3
EdmondsKarp_Maxflow,15,3
EdmondsKarp_Maxflow,16,3
EdmondsKarp_Maxflow,17,2
Efficient-Mergesort,1,620
Efficient-Mergesort,2,309
Efficient-Mergesort,3,58
Efficient-Mergesort,4,38
Efficient-Mergesort,5,24
Efficient-Mergesort,6,15
Efficient-Mergesort,7,10
Efficient-Mergesort,8,4
Efficient-Mergesort,9,3
Efficient-Mergesort,10,3
Elliptic_Curves_Group_Law,1,1006
Elliptic_Curves_Group_Law,2,324
Elliptic_Curves_Group_Law,3,41
Elliptic_Curves_Group_Law,4,29
Elliptic_Curves_Group_Law,5,16
Elliptic_Curves_Group_Law,6,11
Elliptic_Curves_Group_Law,7,7
Elliptic_Curves_Group_Law,8,4
Elliptic_Curves_Group_Law,9,3
Elliptic_Curves_Group_Law,10,3
Elliptic_Curves_Group_Law,11,2
Encodability_Process_Calculi,1,1856
Encodability_Process_Calculi,2,1258
Encodability_Process_Calculi,3,27
Encodability_Process_Calculi,4,21
Encodability_Process_Calculi,5,11
Encodability_Process_Calculi,6,7
Encodability_Process_Calculi,7,4
Encodability_Process_Calculi,8,2
Encodability_Process_Calculi,9,2
Epistemic_Logic,1,1017
Epistemic_Logic,2,682
Epistemic_Logic,3,25
Epistemic_Logic,4,18
Epistemic_Logic,5,12
Epistemic_Logic,6,9
Epistemic_Logic,7,4
Epistemic_Logic,8,3
Epistemic_Logic,9,3
Epistemic_Logic,10,2
Epistemic_Logic,11,2
Epistemic_Logic,12,2
Epistemic_Logic,13,2
Epistemic_Logic,14,2
Ergodic_Theory,1,1062
Ergodic_Theory,2,623
Ergodic_Theory,3,141
Ergodic_Theory,4,103
Ergodic_Theory,5,50
Ergodic_Theory,6,29
Ergodic_Theory,7,19
Ergodic_Theory,8,10
Ergodic_Theory,9,7
Ergodic_Theory,10,6
Ergodic_Theory,11,3
Ergodic_Theory,12,3
Ergodic_Theory,13,3
Ergodic_Theory,14,2
Error_Function,1,136
Error_Function,2,83
Error_Function,3,18
Error_Function,4,11
Error_Function,5,9
Error_Function,6,7
Error_Function,7,4
Error_Function,8,3
Error_Function,9,2
Euler_MacLaurin,1,134
Euler_MacLaurin,2,80
Euler_MacLaurin,3,18
Euler_MacLaurin,4,13
Euler_MacLaurin,5,10
Euler_MacLaurin,6,7
Euler_MacLaurin,7,4
Euler_MacLaurin,8,3
Euler_MacLaurin,9,2
Euler_Partition,1,101
Euler_Partition,2,62
Euler_Partition,3,17
Euler_Partition,4,12
Euler_Partition,5,8
Euler_Partition,6,4
Euler_Partition,7,2
Extended_Finite_State_Machine_Inference,1,4942
Extended_Finite_State_Machine_Inference,2,3660
Extended_Finite_State_Machine_Inference,3,594
Extended_Finite_State_Machine_Inference,4,398
Extended_Finite_State_Machine_Inference,5,240
Extended_Finite_State_Machine_Inference,6,196
Extended_Finite_State_Machine_Inference,7,120
Extended_Finite_State_Machine_Inference,8,86
Extended_Finite_State_Machine_Inference,9,42
Extended_Finite_State_Machine_Inference,10,33
Extended_Finite_State_Machine_Inference,11,23
Extended_Finite_State_Machine_Inference,12,19
Extended_Finite_State_Machine_Inference,13,13
Extended_Finite_State_Machine_Inference,14,10
Extended_Finite_State_Machine_Inference,15,7
Extended_Finite_State_Machine_Inference,16,6
Extended_Finite_State_Machine_Inference,17,5
Extended_Finite_State_Machine_Inference,18,4
Extended_Finite_State_Machine_Inference,19,3
Extended_Finite_State_Machine_Inference,20,2
Extended_Finite_State_Machine_Inference,21,2
Extended_Finite_State_Machine_Inference,22,2
Extended_Finite_State_Machines,1,4874
Extended_Finite_State_Machines,2,3746
Extended_Finite_State_Machines,3,104
Extended_Finite_State_Machines,4,72
Extended_Finite_State_Machines,5,47
Extended_Finite_State_Machines,6,33
Extended_Finite_State_Machines,7,11
Extended_Finite_State_Machines,8,8
Extended_Finite_State_Machines,9,8
Extended_Finite_State_Machines,10,6
Extended_Finite_State_Machines,11,3
Extended_Finite_State_Machines,12,2
Extended_Finite_State_Machines,13,2
FFT,1,52
FFT,2,28
FFT,3,8
FFT,4,6
FFT,5,3
FFT,6,2
FLP,1,1707
FLP,2,1227
FLP,3,84
FLP,4,47
FLP,5,22
FLP,6,15
FLP,7,8
FLP,8,6
FLP,9,6
FLP,10,5
FOL-Fitting,1,2070
FOL-Fitting,2,1380
FOL-Fitting,3,59
FOL-Fitting,4,48
FOL-Fitting,5,33
FOL-Fitting,6,27
FOL-Fitting,7,7
FOL-Fitting,8,5
FOL-Fitting,9,3
FOL_Axiomatic,1,913
FOL_Axiomatic,2,658
FOL_Axiomatic,3,15
