"name","alpha","comp"
"Error_Function",1.87590554911969,-0.807343176488462
"Euler_MacLaurin",1.73555546788945,-6.4919585732154
"Euler_Partition",1.6823458092717,-2.18498301793896
"Extended_Finite_State_Machine_Inference",2.638501933561,-0.0151035570037727
"Extended_Finite_State_Machines",1.64467640087681,-2.46932624503313
"Factor_Algebraic_Polynomial",2.79181816906526,-0.606542676978444
"Factored_Transition_System_Bounding",2.72168427789166,0.019595682129784
"Farkas",2.12565357946104,-Inf
"Featherweight_OCL",1.53956001376136,-7.6261963809023
"FeatherweightJava",1.74942346855087,-1.95191911748909
"FileRefinement",2.16010607172731,-Inf
"FinFun",1.87429436359489,-0.398953959329174
"Finger-Trees",1.49851288329186,-3.44638306338014
"Finite_Automata_HF",2.10384329399423,-0.78396784987022
"Finitely_Generated_Abelian_Groups",2.27453507745031,-0.0130468950206546
"First_Order_Terms",1.49550040536572,-9.38870666389434
"First_Welfare_Theorem",1.60164480456642,-13.4845505359285
"Fishburn_Impossibility",1.68484691518608,-4.10051528962749
"Fisher_Yates",1.75148360494874,-0.416450792553333
"Flow_Networks",2.2326673603576,-1.97310778114858
"Floyd_Warshall",1.85466578817781,-0.659970999437148
"FLP",2.02088614594931,-1.6608139309401
"Flyspeck-Tame",2.57727930644694,0.186686209076818
"FocusStreamsCaseStudies",1.89965335172838,-4.1809994312528
"FOL_Axiomatic",1.31447953894392,-4.27221907314207
"FOL_Harrison",1.6269101990285,-0.938476701597878
"FOL_Seq_Calc1",1.85225868610621,-1.03329912687196
"FOL-Fitting",1.39002734145519,-6.93913500910164
"Forcing",2.44641764387725,-0.801939412115887
"Formal_Puiseux_Series",2.54323320590754,-Inf
"Formal_SSA",1.53019870020245,-Inf
"Formula_Derivatives",1.31217898330648,-24.9442517972046
"Foundation_of_geometry",1.84748594973999,-1.86260096291119
"Fourier",2.01804053214997,-0.713935217829346
"Free-Boolean-Algebra",1.96735674236981,-0.903972642771865
"Free-Groups",1.95790336263631,-4.87930744019012
"Fresh_Identifiers",2.06636088509188,-2.7106231354588
"Functional_Ordered_Resolution_Prover",1.67502344272318,-0.516100034135612
"Functional-Automata",1.71333736984498,-3.53930851320135
"Furstenberg_Topology",1.67417067719921,-0.297666049986103
"Gabow_SCC",2.36275487255274,-0.745310634402113
"GaleStewart_Games",2.8367082906764,-0.0383901501745836
"Game_Based_Crypto",3.46701594711624,-Inf
"Gauss_Jordan",2.84760475180601,-0.0271093655599288
"Gauss_Sums",1.73251393660633,-8.08158166578296
"Gauss-Jordan-Elim-Fun",1.65889585962479,-0.871035104672876
"Gaussian_Integers",1.52090803294178,-3.85745538924974
"GenClock",2.46206562071941,-0.0354578548758593
"General-Triangle",1.8794311311316,-0.00561428212823234
"Generalized_Counting_Sort",3.31690735695521,-0.208743060451519
"Generic_Deriving",1.69268598861905,-56.0088841660119
"Generic_Join",2.27370019740844,-0.105701890937302
"GewirthPGCProof",1.4183416462978,0.0132271012220475
"Girth_Chromatic",4.20089412326624,-0.140180008305435
"Goedel_HFSet_Semantic",1.17505734543022,-0.317565417779059
"Goedel_HFSet_Semanticless",1.85665265395642,-2.06322245077641
"Goedel_Incompleteness",2.29707078065751,-4.95844568276556
